Student_ID,Study_Hours,Attendance,Previous_Marks,Assignment_Score,Final_Marks
1,7,90,83,56,69.88
2,4,79,39,98,55.91
3,8,66,94,84,72.85
4,5,98,78,82,69.4
5,7,69,84,73,69.34
6,10,97,48,48,64.36
7,3,74,87,65,63.65
8,7,71,90,41,64.74
9,8,62,45,92,52.68
10,5,68,43,48,47.37
11,4,98,68,48,65.75
12,8,85,46,79,63.31
13,8,61,69,56,52.0
14,3,90,69,40,54.7
15,6,68,35,64,49.67
16,5,61,74,100,59.91
17,2,58,56,82,43.41
18,8,56,94,79,66.42
19,6,77,63,81,58.15
20,2,63,42,64,43.58
21,5,80,45,78,47.39
22,1,68,75,74,58.37
23,10,96,71,42,63.03
24,6,65,48,89,60.93
25,9,54,94,76,66.77
26,1,84,64,83,57.92
27,10,61,69,83,64.18
28,3,74,55,90,53.31
29,7,70,71,69,73.71
30,4,85,39,77,50.87
31,9,72,53,73,64.87
32,3,65,93,51,52.63
33,5,88,48,58,56.11
34,3,94,60,76,62.84
35,7,91,38,83,59.38
36,5,88,59,98,62.69
37,9,63,79,98,68.98
38,7,80,76,88,67.13
39,2,54,59,100,65.71
40,4,84,52,56,52.69
41,9,72,74,49,63.87
42,2,78,42,96,62.71
43,10,92,73,94,71.82
44,9,60,74,88,66.24
45,10,67,48,86,59.5
46,5,96,66,51,59.82
47,2,61,85,55,53.35
48,4,58,95,63,56.94
49,7,59,72,58,57.68
50,8,93,67,47,57.44
51,3,66,57,70,56.29
52,1,87,49,60,52.82
53,4,56,67,56,47.83
54,2,95,59,62,54.13
55,8,62,51,76,57.38
56,4,89,67,93,61.96
57,2,91,81,55,69.61
58,6,58,89,45,59.49
59,6,99,36,47,54.42
60,10,76,48,64,62.11
61,4,51,87,57,52.35
62,6,54,74,64,61.45
63,2,78,74,51,54.97
64,10,86,85,54,75.05
65,2,87,73,98,64.76
66,10,68,85,65,74.59
67,4,57,40,80,49.26
68,8,97,40,84,73.96
69,7,94,37,65,54.5
70,9,50,41,86,54.27
71,8,71,85,71,62.29
72,5,66,42,49,42.5
73,2,56,76,55,53.39
74,5,74,86,46,65.4
75,8,94,49,56,74.23
76,10,53,81,62,61.97
77,9,85,63,65,59.73
78,9,55,67,60,60.87
79,1,80,86,61,53.61
80,9,68,64,97,69.67
81,7,93,73,46,60.59
82,9,88,61,53,63.21
83,8,76,70,54,66.26
84,1,59,63,92,52.75
85,8,75,72,46,64.21
86,8,68,91,48,68.27
87,3,88,67,90,54.53
88,1,52,95,87,55.64
89,8,94,71,47,56.39
90,3,62,61,89,65.36
91,3,99,89,98,74.27
92,1,77,67,62,61.9
93,5,69,38,68,40.34
94,10,77,56,57,57.09
95,7,57,36,70,51.8
96,10,90,44,69,62.9
97,9,88,39,91,65.81
98,7,50,93,78,58.48
99,9,52,44,74,59.13
100,8,62,67,57,60.89
101,2,77,88,98,69.76
102,1,98,72,81,60.12
103,7,74,47,78,58.57
104,7,82,65,56,58.49
105,8,87,81,53,58.4
106,5,55,70,70,54.75
107,3,93,79,63,62.52
108,8,94,58,74,71.01
109,6,81,86,83,58.98
110,3,94,90,99,75.23
111,1,96,49,84,50.97
112,3,70,63,73,56.35
113,5,65,42,42,45.37
114,3,70,39,76,47.72
115,1,60,63,82,55.59
116,5,86,81,79,61.62
117,10,85,38,65,63.69
118,7,84,46,94,58.81
119,7,68,79,62,54.07
120,9,69,36,83,54.54
121,10,67,61,78,52.67
122,10,96,65,54,68.07
123,3,90,85,95,69.45
124,7,98,85,88,82.52
125,1,63,70,43,49.84
126,4,64,70,68,48.64
127,4,80,60,61,51.01
128,5,50,77,64,57.25
129,7,52,61,52,54.69
130,7,65,39,57,54.21
131,4,72,54,72,59.67
132,7,60,45,55,47.8
133,3,61,44,84,50.81
134,6,59,74,81,67.14
135,2,81,72,83,59.43
136,10,65,40,41,50.85
137,9,57,42,94,55.27
138,5,87,57,74,57.15
139,6,61,81,81,63.49
140,4,73,60,73,52.41
141,10,77,80,69,68.9
142,7,57,77,98,60.53
143,9,77,46,94,62.15
144,7,85,60,52,60.64
145,1,75,47,52,41.56
146,1,57,74,57,49.15
147,9,99,52,71,66.5
148,9,77,59,71,64.66
149,4,77,67,74,58.48
150,9,86,81,98,82.08
151,3,90,74,78,53.55
152,7,85,94,85,89.89
153,6,76,77,91,63.44
154,8,66,46,68,55.92
155,9,58,78,88,62.06
156,5,82,70,68,64.57
157,1,69,82,92,62.88
158,3,62,38,83,44.0
159,10,77,39,96,68.02
160,8,97,90,55,71.43
161,6,78,71,95,70.04
162,8,62,42,83,50.11
163,9,95,76,86,74.85
164,4,84,83,96,80.12
165,1,55,62,49,48.21
166,1,67,65,69,52.84
167,10,100,92,64,75.66
168,4,54,43,78,47.34
169,7,96,88,59,71.94
170,2,74,85,44,57.55
171,3,51,63,40,38.02
172,1,59,48,69,47.54
173,5,79,74,88,60.35
174,1,99,75,42,65.06
175,8,94,56,84,63.24
176,1,54,45,53,40.33
177,1,82,57,95,62.88
178,2,50,35,69,38.04
179,2,67,80,89,62.75
180,6,81,71,43,64.83
181,7,96,55,57,63.47
182,5,98,60,76,65.73
183,1,60,80,64,44.63
184,1,70,70,87,52.48
185,3,75,88,40,62.13
186,2,74,57,92,59.35
187,5,71,91,85,71.91
188,10,76,35,54,55.98
189,6,98,88,48,74.45
190,7,62,89,54,60.44
191,4,82,85,88,69.2
192,7,83,74,96,65.76
193,8,90,49,63,53.41
194,1,84,55,43,39.13
195,6,50,81,51,50.07
196,8,70,43,98,67.76
197,5,97,87,97,68.24
198,4,55,43,76,45.33
199,2,77,44,100,48.48
200,6,66,86,76,62.0
201,6,54,91,82,65.55
202,1,80,87,99,63.65
203,9,54,60,45,57.2
204,6,87,75,78,75.02
205,3,52,69,95,45.2
206,4,72,86,85,62.39
207,4,86,59,63,57.1
208,3,86,60,50,58.88
209,10,59,45,52,48.88
210,3,59,72,73,54.6
211,3,68,36,64,38.57
212,4,66,41,46,35.34
213,7,70,52,91,67.28
214,4,63,61,43,38.53
215,9,58,68,98,77.39
216,1,95,61,47,56.33
217,8,50,51,59,53.0
218,7,100,77,68,73.33
219,2,94,93,93,71.24
220,8,62,78,92,69.26
221,1,53,93,90,59.46
222,9,50,85,84,68.82
223,9,98,88,85,78.98
224,2,89,58,49,47.2
225,7,81,59,82,58.75
226,10,83,41,73,55.23
227,3,77,86,96,72.85
228,7,80,40,65,50.66
229,10,57,87,80,59.29
230,9,88,58,88,70.23
231,4,75,67,97,70.82
232,1,83,83,42,59.17
233,2,52,63,95,50.38
234,1,99,77,45,50.17
235,5,61,56,44,46.43
236,5,50,60,44,44.75
237,7,93,62,93,64.35
238,9,54,84,86,69.91
239,9,79,55,62,69.13
240,3,79,83,88,67.11
241,3,66,41,48,42.95
242,3,97,51,74,53.41
243,4,96,54,59,63.99
244,8,72,75,97,69.52
245,6,64,83,88,63.11
